Ã¯Â»Â¿No.,"Author, Specimen ID ",Comments,Cross-section,Test Type and Configuration,Sustained Loading (% Ultimate),Width (mm),Depth (mm),Length (mm),Test Length (mm),Side Cover to Ctr of Tension Bar (mm),Bottom Cover to Ctr of Tension Bar (mm),Top Cover to Ctr of Compression Bar (mm),Reinforcement Design,# Tensile Bars,"Diameter Tensile Bars, db,t (mm)","Tension Reinforcement Ratio, pten (%)",# Compression Bars,"Diameter Comp Bars, db,c (mm)",Longitudinal Bar Type,Tension Bar End Anchorage,Lsplice (mm),"fy Longitudinal Bars (Tensile), (MPa) ","fsu Long Bars, (MPa)","Comp Reinforcement Ratio, pcom (%)",# Stirrup Legs,Stirrup Bar Type,"Stirrup Spacing, s (mm) ","Stirrup Diameter, ds (mm)","fy,s Stirrup Bars","Stirrup Volumetric Ratio, ÃÂs",Cement Type,W/C Ratio,Max Aggregate Size (mm),Comp. Test Method,f'c (MPa),Corrosion Method,Cathode Type,"Corrosion Zone Length, Lc (mm)","Corrosion Current Density, Icorr (ÃÂ¼A/cm2)","Duration, (days)",Solution Concetration (% NaCl),Immersion Depth (mm),Wet/Dry Cyclic Ratio (days),"Mass Loss (Tensile bars), ÃÂ·m (%)","Average Sample Length, (mm)","Corrosion Penetration Depth, Xaver (mm)","Shear Span, x (mm)",Py (kN),Pmax (kN),"Mmax,exp (kNm)","Residual Capacity, R (%)",MACI (kNm),"Mmax,exp/ MACI (%)",ÃÂy (mm),ÃÂult (mm),"Elastic Stiffness, k (kN/mm)","Displacement Ductility, ÃÂ¼ÃÂ",Failure Mode,Extra Notes
11,"Al-Sulaimani et al. (1990), IV #11",Bottom tensile bar isolated from rest of reinforcement for independent corrosion,S,SS_FPB_MONO,0,150,150,1000,900,75,35,15,T_C,1,12,0.503,2,10,D,S,0,417.97,609.54,0.698,2,P,50,6,275,0.754,OPC,0.45,,Cube,40,IC,External stainless steel plate,1000,2000,2.3,3.5,150,N/A,3.89,1000,0.117,300,,42.5,6.38,90.23,5.62,113.44,,,,,Flexural-bending (ductile),"Solution concentration assumed as standard sea water 3.5%. Concrete compressive strengths averaged. Yield load, yield displacement and ultimate displacement not reported."
12,"Al-Sulaimani et al. (1990), IV #12",Bottom tensile bar isolated from rest of reinforcement for independent corrosion,S,SS_FPB_MONO,0,150,150,1000,900,75,35,15,T_C,1,12,0.503,2,10,D,S,0,416.24,607.36,0.698,2,P,50,6,275,0.754,OPC,0.45,,Cube,40,IC,External stainless steel plate,1000,2000,2,3.5,150,N/A,4.1,1000,0.123,300,24.86,42.2,6.33,89.6,5.62,112.64,2.13,9.83,11.67,4.62,Flexural-bending (ductile),Solution concentration assumed as standard sea water 3.5%. Concrete compressive strengths averaged.
13,"Rodriguez et al. (1997), Beam No. 111C",Control,R,SS_FPB_MONO,0,150,200,2300,2000,31,31,25,T_C,2,10,0.524,2,8,D,S,0,575,655,0.335,2,P,170,6,626,0.222,PCT2,0.5,12,Cube,50,C,Control,0,0,0,0,0,N/A,0,0,0,800,,37.75,15.1,98.05,14.7,102.72,,,,,Flexural-bending (ductile),"Compressive strength measured at date of testing then averaged per beam type.  Yield load, yield displacement and ultimate displacement not reported."
14,"Rodriguez et al. (1997), Beam No. 112C",Control,R,SS_FPB_MONO,0,150,200,2300,2000,31,31,25,T_C,2,10,0.524,2,8,D,S,0,575,655,0.335,2,P,170,6,626,0.222,PCT2,0.5,12,Cube,50,C,Control,0,0,0,0,0,N/A,0,0,0,800,,39.25,15.7,101.95,14.7,106.8,,,,,Flexural-bending (ductile),"Compressive strength measured at date of testing then averaged per beam type.  Yield load, yield displacement and ultimate displacement not reported."
15,"Rodriguez et al. (1997), Beam No. 113",Only tensile bars corroded.,R,SS_FPB_MONO,0,150,200,2300,2000,31,31,25,T_C,2,10,0.524,2,8,D,S,0,378.86,459.66,0.335,2,P,170,6,626,0.222,PCT2,0.5,12,Cube,34,IC,External stainless steel bars,2300,100,101,3,200,N/A,18.64,400,0.466,800,,25.25,10.1,65.58,14.32,70.54,,,,,Flexural-bending (brittle),"Compressive strength measured at date of testing then averaged per beam type. Calcium chloride salt (3% by mass) cast in mix in place of water then continuously sprayed with water system. Corrosion damage presented as corrosion penetration (reduction of bar radius in mm) - converted to mass loss percentage based on normal density carbon steel. Yield load, yield displacement and ultimate displacement not reported."
16,"Rodriguez et al. (1997), Beam No. 114",Only tensile bars corroded.,R,SS_FPB_MONO,0,150,200,2300,2000,31,31,25,T_C,2,10,0.524,2,8,D,S,0,394.12,474.85,0.335,2,P,170,6,626,0.222,PCT2,0.5,12,Cube,34,IC,External stainless steel bars,2300,100,117,3,200,N/A,17.19,400,0.43,800,,26.25,10.5,68.18,14.32,73.34,,,,,Flexural-bending (ductile),"Compressive strength measured at date of testing then averaged per beam type. Calcium chloride salt (3% by mass) cast in mix in place of water then continuously sprayed with water system. Corrosion damage presented as corrosion penetration (reduction of bar radius in mm) - converted to mass loss percentage based on normal density carbon steel. Yield load, yield displacement and ultimate displacement not reported."
17,"Rodriguez et al. (1997), Beam No. 115",Only tensile bars corroded.,R,SS_FPB_MONO,0,150,200,2300,2000,31,31,25,T_C,2,10,0.524,2,8,D,S,0,428.93,509.52,0.335,2,P,170,6,626,0.222,PCT2,0.5,12,Cube,34,IC,External stainless steel bars,2300,100,160,3,200,N/A,13.88,400,0.347,800,,29,11.6,75.32,14.32,81.02,,,,,Flexural-bending (ductile),"Compressive strength measured at date of testing then averaged per beam type. Calcium chloride salt (3% by mass) cast in mix in place of water then continuously sprayed with water system. Corrosion damage presented as corrosion penetration (reduction of bar radius in mm) - converted to mass loss percentage based on normal density carbon steel. Yield load, yield displacement and ultimate displacement not reported."
18,"Rodriguez et al. (1997), Beam No. 116",Only tensile bars corroded.,R,SS_FPB_MONO,0,150,200,2300,2000,31,31,25,T_C,2,10,0.524,2,8,D,S,0,297.38,378.5,0.335,2,P,170,6,626,0.222,PCT2,0.5,12,Cube,34,IC,External stainless steel bars,2300,100,190,3,200,N/A,26.38,400,0.66,800,,21.5,8.6,55.84,14.32,60.07,,,,,Flexural-bending (brittle),"Compressive strength measured at date of testing then averaged per beam type. Calcium chloride salt (3% by mass) cast in mix in place of water then continuously sprayed with water system. Corrosion damage presented as corrosion penetration (reduction of bar radius in mm) - converted to mass loss percentage based on normal density carbon steel. Yield load, yield displacement and ultimate displacement not reported."
19,"Rodriguez et al. (1997), Beam No. 121C",Control,R,SS_FPB_MONO,0,150,200,2300,2000,32,32,25,T_C,4,12,1.508,2,8,D,S,0,585,673,0.335,2,P,170,6,626,0.222,PCT2,0.5,12,Cube,48,C,Control,0,0,0,0,0,N/A,0,0,0,800,,90.25,36.1,97.04,39.24,91.99,,,,,Flexural-bending (ductile),"Compressive strength measured at date of testing then averaged per beam type.  Yield load, yield displacement and ultimate displacement not reported."
20,"Rodriguez et al. (1997), Beam No. 122C",Control,R,SS_FPB_MONO,0,150,200,2300,2000,32,32,25,T_C,4,12,1.508,2,8,D,S,0,585,673,0.335,2,P,170,6,626,0.222,PCT2,0.5,12,Cube,48,C,Control,0,0,0,0,0,N/A,0,0,0,800,,95.75,38.3,102.96,39.24,97.59,,,,,Flexural-bending (ductile),"Compressive strength measured at date of testing then averaged per beam type.  Yield load, yield displacement and ultimate displacement not reported."
21,"Rodriguez et al. (1997), Beam No. 126",All longitudinal and shear reinforcement corroded.,R,SS_FPB_MONO,0,150,200,2300,2000,32,32,25,T_C,4,12,1.508,2,8,D,S,0,473.85,561.2,0.335,2,P,170,6,626,0.222,PCT2,0.5,12,Cube,35,IC,External stainless steel bars,2300,100,175,3,200,N/A,10.38,400,0.311,800,,72.5,29,77.96,37.72,76.87,,,,,Flexural-bending (ductile),"Compressive strength measured at date of testing then averaged per beam type. Calcium chloride salt (3% by mass) cast in mix in place of water then continuously sprayed with water system. Corrosion damage presented as corrosion penetration (reduction of bar radius in mm) - converted to mass loss percentage based on normal density carbon steel. Yield load, yield displacement and ultimate displacement not reported."
22,"Rodriguez et al. (1997), Beam No. 311C",Control,R,SS_FPB_MONO,0,150,200,2300,2000,32,32,25,T_C,4,12,1.508,4,8,D,S,0,585,673,0.67,2,P,85,6,626,0.444,PCT2,0.5,12,Cube,49,C,Control,0,0,0,0,0,N/A,0,0,0,800,,95.25,38.1,99.09,39.59,96.24,,,,,Flexural-bending (ductile),"Compressive strength measured at date of testing then averaged per beam type.  Yield load, yield displacement and ultimate displacement not reported."
23,"Rodriguez et al. (1997), Beam No. 312C",Control,R,SS_FPB_MONO,0,150,200,2300,2000,32,32,25,T_C,4,12,1.508,4,8,D,S,0,585,673,0.67,2,P,85,6,626,0.444,PCT2,0.5,12,Cube,49,C,Control,0,0,0,0,0,N/A,0,0,0,800,,97,38.8,100.91,39.59,98.01,,,,,Flexural-bending (ductile),"Compressive strength measured at date of testing then averaged per beam type.  Yield load, yield displacement and ultimate displacement not reported."
24,"Rodriguez et al. (1997), Beam No. 313",All longitudinal and shear reinforcement corroded.,R,SS_FPB_MONO,0,150,200,2300,2000,32,32,25,T_C,4,12,1.508,4,8,D,S,0,480.62,568.01,0.67,2,P,85,6,626,0.444,PCT2,0.5,12,Cube,37,IC,External stainless steel bars,2300,100,111,3,200,N/A,9.75,400,0.293,800,,70.5,28.2,73.34,38.61,73.04,,,,,Flexural-bending (ductile),"Compressive strength measured at date of testing then averaged per beam type. Calcium chloride salt (3% by mass) cast in mix in place of water then continuously sprayed with water system. Corrosion damage presented as corrosion penetration (reduction of bar radius in mm) - converted to mass loss percentage based on normal density carbon steel. Yield load, yield displacement and ultimate displacement not reported."
25,"Rodriguez et al. (1997), Beam No. 314",All longitudinal and shear reinforcement corroded.,R,SS_FPB_MONO,0,150,200,2300,2000,32,32,25,T_C,4,12,1.508,4,8,D,S,0,420.56,507.6,0.67,2,P,85,6,626,0.444,PCT2,0.5,12,Cube,37,IC,External stainless steel bars,2300,100,128,3,200,N/A,15.36,400,0.461,800,,71.25,28.5,74.12,38.61,73.81,,,,,Flexural-bending (ductile),"Compressive strength measured at date of testing then averaged per beam type. Calcium chloride salt (3% by mass) cast in mix in place of water then continuously sprayed with water system. Corrosion damage presented as corrosion penetration (reduction of bar radius in mm) - converted to mass loss percentage based on normal density carbon steel. Yield load, yield displacement and ultimate displacement not reported."
26,"Rodriguez et al. (1997), Beam No. 316",All longitudinal and shear reinforcement corroded.,R,SS_FPB_MONO,0,150,200,2300,2000,32,32,25,T_C,4,12,1.508,4,8,D,S,0,440.37,527.52,0.67,2,P,85,6,626,0.444,PCT2,0.5,12,Cube,37,IC,External stainless steel bars,2300,100,190,3,200,N/A,13.51,400,0.405,800,,68.75,27.5,71.52,38.61,71.22,,,,,Flexural-bending (ductile),"Compressive strength measured at date of testing then averaged per beam type. Calcium chloride salt (3% by mass) cast in mix in place of water then continuously sprayed with water system. Corrosion damage presented as corrosion penetration (reduction of bar radius in mm) - converted to mass loss percentage based on normal density carbon steel. Yield load, yield displacement and ultimate displacement not reported."
27,"Lee et al. (1999), BS",Control.,R,SS_FPB_MONO,0,200,250,2400,2000,30,30,30,T_C,3,13,0.796,3,13,D,H-90,0,343,477,0.796,2,D,100,6,226,0.283,OPC,0.65,,Cylinder,39.2,C,Control,0,0,0,0,0,N/A,0,0,0,750,75.7,89.6,33.6,100,28.73,116.93,4.09,86.7,18.51,21.2,Flexural-bending (ductile),
28,"Lee et al. (1999), BCD1-0",NaCl combined with concrete mixture.,R,SS_FPB_MONO,0,200,250,2400,2000,30,30,30,T_C,3,13,0.796,3,13,D,H-90,0,319.15,448,0.796,2,D,100,6,226,0.283,OPC,0.65,,Cylinder,39.2,IC,External copper plate,2400,1000,5,3.5,100,N/A,3.8,500,0.124,750,70.1,85.3,31.99,95.2,28.73,111.32,4.1,82.4,17.1,20.1,Flexural-bending (ductile),May have some bond-slip influences. 1.0 A current impressed - density and duration back calculated.
29,"Lee et al. (1999), BCD2-0",NaCl combined with concrete mixture.,R,SS_FPB_MONO,0,200,250,2400,2000,30,30,30,T_C,3,13,0.796,3,13,D,H-90,0,293.41,416.71,0.796,2,D,100,6,226,0.283,OPC,0.65,,Cylinder,39.2,IC,External copper plate,2400,1000,10,3.5,100,N/A,7.9,500,0.257,750,71,79,29.63,88.17,28.73,103.1,3.61,61.1,19.67,16.93,Flexural-bending (ductile),May have some bond-slip influences. 1.0 A current impressed - density and duration back calculated.
30,"Lee et al. (1999), BCD3-0",NaCl combined with concrete mixture.,R,SS_FPB_MONO,0,200,250,2400,2000,30,30,30,T_C,3,13,0.796,3,13,D,H-90,0,184.19,283.91,0.796,2,D,100,6,226,0.283,OPC,0.65,,Cylinder,39.2,IC,External copper plate,2400,1000,25,3.5,100,N/A,25.3,500,0.822,750,51.6,67.6,25.35,75.45,28.73,88.22,3.11,51.1,16.59,16.43,Flexural-bond,1.0 A current impressed - density and duration back calculated.
31,"Mangat and Elgarf (1999a), G1C_1",Control,R,SS_FPB_MONO,0,100,150,910,860,25,25,25,T_C,2,10,1.047,2,6,D,H-90,0,520,598,0.377,2,D,70,6,370,0.808,OPC,0.53,10,Cube,40,C,Control,0,0,0,0,0,N/A,0,0,0,290,57.2,69.1,10.02,100,9.22,108.67,2.9,13.6,19.72,4.69,Flexural-bending (ductile),NaCl salt (1% by cement weight) cast in mix to improve concrete conductivity and galvanic corrosion potential. Concrete compressive strengths based on target not actual.
32,"Mangat and Elgarf (1999a), G1C_2",Control,R,SS_FPB_MONO,0,100,150,910,860,25,25,25,T_C,2,10,1.047,2,6,D,H-90,0,520,598,0.377,2,D,70,6,370,0.808,OPC,0.53,10,Cube,40,C,Control,0,0,0,0,0,N/A,0,0,0,290,57.2,69.1,10.02,100,9.22,108.67,2.9,13.6,19.72,4.69,Flexural-bending (ductile),NaCl salt (1% by cement weight) cast in mix to improve concrete conductivity and galvanic corrosion potential. Concrete compressive strengths based on target not actual.
33,"Mangat and Elgarf (1999a), G2C_1",Control,R,SS_FPB_MONO,0,100,150,910,860,25,25,0,ST,2,10,1.047,0,0,D,H-90,0,520,598,0,0,N/A,0,0,0,0,OPC,0.53,10,Cube,40,C,Control,0,0,0,0,0,N/A,0,0,0,290,53.4,65.3,9.47,100,9.23,102.59,2.6,12.4,20.54,4.77,Flexural-bending (ductile),NaCl salt (1% by cement weight) cast in mix to improve concrete conductivity and galvanic corrosion potential. Concrete compressive strengths based on target not actual.
34,"Mangat and Elgarf (1999a), G2C_2",Control,R,SS_FPB_MONO,0,100,150,910,860,25,25,0,ST,2,10,1.047,0,0,D,H-90,0,520,598,0,0,N/A,0,0,0,0,OPC,0.53,10,Cube,40,C,Control,0,0,0,0,0,N/A,0,0,0,290,53.4,65.3,9.47,100,9.23,102.59,2.6,12.4,20.54,4.77,Flexural-bending (ductile),NaCl salt (1% by cement weight) cast in mix to improve concrete conductivity and galvanic corrosion potential. Concrete compressive strengths based on target not actual.
35,"Mangat and Elgarf (1999a), G2C_3",Control,R,SS_FPB_MONO,0,100,150,910,860,25,25,0,ST,2,10,1.047,0,0,D,H-90,0,520,598,0,0,N/A,0,0,0,0,OPC,0.53,10,Cube,40,C,Control,0,0,0,0,0,N/A,0,0,0,290,53.4,65.3,9.47,100,9.23,102.59,2.6,12.4,20.54,4.77,Flexural-bending,NaCl salt (1% by cement weight) cast in mix to improve concrete conductivity and galvanic corrosion potential. Concrete compressive strengths based on target not actual.
36,"Mangat and Elgarf (1999a), G3C_1",Control,R,SS_FPB_MONO,0,100,150,910,860,25,25,0,ST,2,8,0.67,0,0,D,H-90,0,520,598,0,0,N/A,0,0,0,0,OPC,0.53,10,Cube,40,C,Control,0,0,0,0,0,N/A,0,0,0,290,41.1,48,6.96,100,6.13,113.49,2.5,11.8,16.44,4.72,Flexural-bending,NaCl salt (1% by cement weight) cast in mix to improve concrete conductivity and galvanic corrosion potential. Concrete compressive strengths based on target not actual.
37,"Mangat and Elgarf (1999a), G3C_2",Control,R,SS_FPB_MONO,0,100,150,910,860,25,25,0,ST,2,8,0.67,0,0,D,H-90,0,520,598,0,0,N/A,0,0,0,0,OPC,0.53,10,Cube,40,C,Control,0,0,0,0,0,N/A,0,0,0,290,41.1,48,6.96,100,6.13,113.49,2.5,11.8,16.44,4.72,Flexural-bending,NaCl salt (1% by cement weight) cast in mix to improve concrete conductivity and galvanic corrosion potential. Concrete compressive strengths based on target not actual.
38,"Mangat and Elgarf (1999a), G4_1",Corrosion restricted to one tensile reinforcing bar.,R,SS_FPB_MONO,0,100,150,910,860,25,25,25,T_C,2,10,1.047,2,6,D,H-90,0,496.21,574.08,0.377,2,D,70,6,370,0.808,OPC,0.53,10,Cube,40,IC,External galvanised steel tray,910,3000,1.3,3.5,50,N/A,2.5,860,0.063,290,50.5,65.1,9.44,94.21,9.22,102.38,3.1,12.8,16.29,4.13,Flexural-bending (ductile),Supplemented by Elgarf (2004) Ph.D. Thesis. NaCl salt (1% by cement weight) cast in mix to improve concrete conductivity and galvanic corrosion potential. Stirrups and top steel interfered with corrosion induction so  external collars were used for shear reinforcement instead. Corrosion damage based on Faraday's Law - not experimentally measured. Concrete compressive strengths based on target not actual. Bond-slip failure/interaction reported but inconclusive with force-displacement. behaviour.
39,"Mangat and Elgarf (1999a), G4_2",Corrosion restricted to one tensile reinforcing bar.,R,SS_FPB_MONO,0,100,150,910,860,25,25,25,T_C,2,10,1.047,2,6,D,H-90,0,496.21,574.08,0.377,2,D,70,6,370,0.808,OPC,0.53,10,Cube,40,IC,External galvanised steel tray,910,3000,1.3,3.5,50,N/A,2.5,860,0.063,290,50.5,65.1,9.44,94.21,9.22,102.38,3.1,12.8,16.29,4.13,Flexural-bending (ductile),Supplemented by Elgarf (2004) Ph.D. Thesis. NaCl salt (1% by cement weight) cast in mix to improve concrete conductivity and galvanic corrosion potential. Stirrups and top steel interfered with corrosion induction so  external collars were used for shear reinforcement instead. Corrosion damage based on Faraday's Law - not experimentally measured. Concrete compressive strengths based on target not actual. Bond-slip failure/interaction reported but inconclusive with force-displacement. behaviour.
40,"Mangat and Elgarf (1999a), G4_3",Corrosion restricted to one tensile reinforcing bar.,R,SS_FPB_MONO,0,100,150,910,860,25,25,25,T_C,2,10,1.047,2,6,D,H-90,0,472.42,550.16,0.377,2,D,70,6,370,0.808,OPC,0.53,10,Cube,40,IC,External galvanised steel tray,910,3000,2.7,3.5,50,N/A,5,860,0.125,290,50.5,62.9,9.12,91.03,9.22,98.92,3.1,9.9,16.29,3.19,Flexural-bending (ductile),Supplemented by Elgarf (2004) Ph.D. Thesis. NaCl salt (1% by cement weight) cast in mix to improve concrete conductivity and galvanic corrosion potential. Stirrups and top steel interfered with corrosion induction so  external collars were used for shear reinforcement instead. Corrosion damage based on Faraday's Law - not experimentally measured. Concrete compressive strengths based on target not actual. Bond-slip failure/interaction reported but inconclusive with force-displacement. behaviour.
41,"Mangat and Elgarf (1999a), G4_4",Corrosion restricted to one tensile reinforcing bar.,R,SS_FPB_MONO,0,100,150,910,860,25,25,25,T_C,2,10,1.047,2,6,D,H-90,0,472.42,550.16,0.377,2,D,70,6,370,0.808,OPC,0.53,10,Cube,40,IC,External galvanised steel tray,910,3000,2.7,3.5,50,N/A,5,860,0.125,290,50.5,62.9,9.12,91.03,9.22,98.92,3.1,9.9,16.29,3.19,Flexural-bending (ductile),Supplemented by Elgarf (2004) Ph.D. Thesis. NaCl salt (1% by cement weight) cast in mix to improve concrete conductivity and galvanic corrosion potential. Stirrups and top steel interfered with corrosion induction so  external collars were used for shear reinforcement instead. Corrosion damage based on Faraday's Law - not experimentally measured. Concrete compressive strengths based on target not actual. Bond-slip failure/interaction reported but inconclusive with force-displacement. behaviour.
42,"Mangat and Elgarf (1999a), G4_5",Corrosion restricted to one tensile reinforcing bar.,R,SS_FPB_MONO,0,100,150,910,860,25,25,25,T_C,2,10,1.047,2,6,D,H-90,0,448.63,526.24,0.377,2,D,70,6,370,0.808,OPC,0.53,10,Cube,40,IC,External galvanised steel tray,910,3000,4,3.5,50,N/A,7.5,860,0.188,290,49.9,57.6,8.35,83.36,9.22,90.59,4.1,6.9,12.17,1.68,Flexural-bending (ductile),Supplemented by Elgarf (2004) Ph.D. Thesis. NaCl salt (1% by cement weight) cast in mix to improve concrete conductivity and galvanic corrosion potential. Stirrups and top steel interfered with corrosion induction so  external collars were used for shear reinforcement instead. Corrosion damage based on Faraday's Law - not experimentally measured. Concrete compressive strengths based on target not actual. Bond-slip failure/interaction reported but inconclusive with force-displacement. behaviour.
